subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
477	47	35	0	34	0
477	15	30	0	26	0
477	111	30	0	27	0
477	180	25	0	24	0
477	5	25	0	19	1
477	173	25	0	24	1
477	145	25	0	23	0
477	43	35	0	13	1
477	136	25	0	22	1
477	30	25	0	21	0
477	6	35	0	14	1
477	45	30	0	28	1
477	119	35	0	16	0
477	168	35	0	17	0
477	41	35	0	30	1
477	8	30	0	25	1
477	9	30	0	22	1
477	170	30	0	29	1
477	106	30	0	18	0
477	22	35	0	26	1
477	76	25	0	21	0
477	160	35	0	34	0
477	25	35	0	10	0
477	98	25	0	18	0
477	35	35	0	11	1
477	87	30	0	29	0
477	48	25	0	17	1
477	1	25	0	20	1
477	113	30	0	28	0
477	130	30	0	29	1
477	159	35	0	25	1
477	126	30	0	20	1
420	11	25	0	12	0
420	4	30	0	15	1
420	25	35	0	10	0
420	76	25	0	21	1
420	22	35	0	26	1
420	112	25	0	24	1
420	98	25	0	18	0
420	159	35	0	25	0
420	58	25	0	13	0
420	81	35	0	31	1
420	136	25	0	22	0
420	180	25	0	24	0
420	109	30	0	11	1
420	61	35	0	33	0
420	119	35	0	16	1
420	160	35	0	34	1
420	35	35	0	11	1
420	9	30	0	22	1
420	37	25	0	13	1
420	15	30	0	26	1
420	14	25	0	16	1
420	1	25	0	20	1
420	110	35	0	34	0
420	12	35	0	12	1
420	7	30	0	14	1
420	99	35	0	10	1
420	170	30	0	29	0
420	8	30	0	25	1
420	41	35	0	30	1
420	173	25	0	24	0
420	30	25	0	21	0
420	158	25	0	20	0
420	87	30	0	29	0
420	16	30	0	15	1
420	43	35	0	13	1
420	3	30	0	23	1
420	168	35	0	17	0
420	45	30	0	28	1
420	106	30	0	18	1
420	145	25	0	23	0
420	5	25	0	19	0
420	48	25	0	17	0
420	111	30	0	27	0
420	113	30	0	28	1
420	6	35	0	14	1
420	2	25	0	19	1
420	44	30	0	27	1
420	130	30	0	29	1
420	47	35	0	34	0
673	126	30	0	20	1
673	76	25	0	21	0
673	45	30	0	28	1
673	44	30	0	27	1
673	3	30	0	23	1
673	41	35	0	30	1
673	47	35	0	34	0
673	30	25	0	21	1
673	145	25	0	23	1
673	9	30	0	22	1
673	159	35	0	25	1
673	136	25	0	22	1
673	5	25	0	19	1
673	14	25	0	16	1
673	110	35	0	34	1
673	106	30	0	18	1
673	87	30	0	29	0
673	25	35	0	10	1
673	1	25	0	20	1
673	111	30	0	27	0
673	12	35	0	12	1
673	113	30	0	28	1
673	119	35	0	16	1
673	22	35	0	26	1
673	16	30	0	15	1
673	160	35	0	34	0
673	37	25	0	13	1
673	61	35	0	33	1
673	109	30	0	11	1
673	81	35	0	31	0
673	2	25	0	19	1
673	158	25	0	20	1
673	6	35	0	14	1
673	152	35	0	33	1
673	11	25	0	12	1
673	180	25	0	24	0
673	168	35	0	17	1
673	43	35	0	13	1
673	35	35	0	11	1
673	58	25	0	13	1
673	48	25	0	17	1
673	8	30	0	25	1
673	7	30	0	14	1
673	15	30	0	26	1
673	98	25	0	18	1
673	173	25	0	24	1
673	130	30	0	29	1
673	170	30	0	29	0
673	99	35	0	10	1
673	4	30	0	15	1
771	168	35	0	17	0
771	98	25	0	18	0
771	130	30	0	29	0
771	15	30	0	26	0
771	126	30	0	20	1
771	158	25	0	20	0
771	9	30	0	22	1
771	113	30	0	28	1
771	14	25	0	16	1
771	41	35	0	30	1
771	45	30	0	28	1
771	8	30	0	25	1
771	25	35	0	10	1
771	170	30	0	29	1
771	119	35	0	16	0
771	81	35	0	31	0
771	44	30	0	27	1
771	12	35	0	12	1
771	35	35	0	11	1
771	43	35	0	13	1
771	61	35	0	33	1
771	4	30	0	15	1
771	111	30	0	27	1
771	112	25	0	24	0
771	48	25	0	17	0
771	76	25	0	21	1
771	159	35	0	25	0
771	58	25	0	13	1
771	6	35	0	14	1
771	180	25	0	24	1
771	136	25	0	22	1
771	37	25	0	13	0
771	11	25	0	12	1
771	87	30	0	29	1
771	173	25	0	24	1
771	145	25	0	23	0
771	22	35	0	26	0
771	7	30	0	14	1
771	30	25	0	21	0
771	110	35	0	34	1
771	2	25	0	19	1
771	109	30	0	11	0
771	99	35	0	10	1
771	106	30	0	18	0
771	16	30	0	15	1
771	1	25	0	20	1
771	3	30	0	23	1
771	160	35	0	34	1
771	5	25	0	19	1
771	47	35	0	34	1
523	106	30	0	18	1
523	109	30	0	11	1
523	168	35	0	17	0
523	159	35	0	25	1
523	48	25	0	17	1
523	99	35	0	10	1
523	4	30	0	15	1
523	98	25	0	18	0
523	180	25	0	24	0
523	110	35	0	34	1
523	7	30	0	14	1
523	119	35	0	16	1
523	47	35	0	34	1
523	45	30	0	28	1
523	30	25	0	21	1
523	44	30	0	27	1
523	5	25	0	19	1
523	61	35	0	33	1
523	158	25	0	20	0
523	9	30	0	22	1
523	76	25	0	21	1
523	126	30	0	20	0
523	25	35	0	10	1
523	35	35	0	11	1
523	58	25	0	13	1
523	15	30	0	26	1
523	6	35	0	14	1
523	145	25	0	23	0
523	112	25	0	24	1
523	113	30	0	28	1
523	37	25	0	13	1
523	1	25	0	20	1
523	14	25	0	16	1
523	12	35	0	12	1
523	41	35	0	30	1
523	8	30	0	25	1
523	2	25	0	19	1
523	170	30	0	29	1
523	111	30	0	27	1
523	22	35	0	26	1
523	173	25	0	24	0
523	136	25	0	22	0
523	152	35	0	33	0
523	3	30	0	23	1
523	43	35	0	13	1
523	160	35	0	34	0
523	130	30	0	29	0
523	87	30	0	29	0
523	16	30	0	15	1
523	11	25	0	12	1
35	22	35	0	26	1
35	12	35	0	12	1
35	112	25	0	24	0
35	16	30	0	15	1
35	11	25	0	12	1
35	7	30	0	14	1
35	130	30	0	29	1
35	99	35	0	10	1
35	98	25	0	18	1
35	47	35	0	34	1
35	8	30	0	25	1
35	61	35	0	33	0
35	106	30	0	18	1
35	109	30	0	11	1
35	4	30	0	15	1
35	158	25	0	20	1
35	30	25	0	21	1
35	9	30	0	22	1
35	1	25	0	20	1
35	76	25	0	21	1
35	152	35	0	33	0
35	6	35	0	14	1
35	14	25	0	16	1
35	41	35	0	30	1
35	5	25	0	19	1
35	173	25	0	24	1
35	159	35	0	25	1
35	15	30	0	26	1
35	44	30	0	27	0
35	113	30	0	28	0
35	170	30	0	29	1
35	58	25	0	13	1
35	25	35	0	10	1
35	145	25	0	23	0
35	111	30	0	27	1
35	87	30	0	29	1
35	126	30	0	20	1
35	45	30	0	28	0
35	37	25	0	13	1
35	43	35	0	13	1
35	2	25	0	19	1
35	119	35	0	16	1
35	110	35	0	34	0
35	48	25	0	17	1
35	168	35	0	17	1
35	160	35	0	34	1
35	3	30	0	23	1
35	136	25	0	22	0
35	180	25	0	24	1
369	159	35	0	25	0
369	119	35	0	16	0
369	22	35	0	26	0
369	30	25	0	21	1
369	8	30	0	25	1
369	106	30	0	18	0
369	43	35	0	13	0
369	158	25	0	20	1
369	25	35	0	10	1
369	9	30	0	22	1
369	98	25	0	18	1
369	15	30	0	26	0
369	110	35	0	34	1
369	2	25	0	19	1
369	109	30	0	11	1
369	130	30	0	29	1
369	16	30	0	15	0
369	3	30	0	23	1
369	113	30	0	28	0
369	99	35	0	10	1
369	112	25	0	24	1
369	136	25	0	22	0
369	44	30	0	27	1
369	87	30	0	29	1
369	1	25	0	20	1
369	11	25	0	12	1
369	76	25	0	21	1
369	6	35	0	14	1
369	37	25	0	13	1
369	160	35	0	34	1
